Date,Open,High,Low,Close,Adj Close,Volume
2021-09-17,44.78,45.50,44.11,44.54,44.54,11733300
2021-09-16,43.86,45.41,43.85,44.47,44.47,12204300
2021-09-15,43.65,43.91,43.02,43.86,43.86,10321600
2021-09-14,44.63,44.93,43.58,43.87,43.87,10762800
2021-09-13,44.73,45.18,43.57,44.84,44.84,14173600
2021-09-10,46.82,46.82,44.18,44.34,44.34,17476100
2021-09-09,45.24,47.74,45.07,46.58,46.58,12872300
2021-09-08,46.70,47.19,45.42,45.53,45.53,9053400
2021-09-07,46.02,46.78,45.68,46.57,46.57,7802500
2021-09-03,46.60,47.36,45.92,46.22,46.22,7705300
2021-09-02,46.28,47.49,45.87,46.76,46.76,9780100
2021-09-01,46.75,46.93,45.95,46.19,46.19,8608000
2021-08-31,45.73,46.83,45.61,46.51,46.51,8884200
2021-08-30,48.01,48.01,45.71,45.91,45.91,11376100
2021-08-27,47.17,48.22,47.03,47.71,47.71,6816100
2021-08-26,47.30,48.02,46.40,47.01,47.01,8604000
2021-08-25,47.30,47.94,46.54,47.59,47.59,9772300
2021-08-24,46.34,47.56,46.28,47.12,47.12,10048000
2021-08-23,44.64,45.63,44.32,45.53,45.53,8269200
2021-08-20,43.79,44.32,43.48,44.03,44.03,9855900
2021-08-19,44.77,44.90,43.17,43.93,43.93,12360700
2021-08-18,45.12,45.99,44.71,45.04,45.04,9460700
2021-08-17,45.44,45.80,44.52,45.29,45.29,9745500
2021-08-16,45.62,46.55,45.16,46.30,46.30,8402500
2021-08-13,47.08,47.38,46.27,46.49,46.49,7563100
2021-08-12,47.91,48.01,46.55,47.24,47.24,9307300
2021-08-11,47.14,48.41,46.46,48.21,48.21,12779300
2021-08-10,46.37,48.24,46.17,47.68,47.68,12551700
2021-08-09,46.99,47.00,45.53,46.45,46.45,13064800
2021-08-06,47.72,48.13,46.58,47.62,47.62,9910400
2021-08-05,45.52,47.67,45.38,47.24,47.24,12644600
